i,simple/bagged,bias,variance,gen_error
0,simple,0.4444,1.3333333333333335,1.7777777777777781
1,simple,0.0,0.0,0.0
2,simple,0.0,0.0,0.0
3,simple,0.4444,1.3333333333333335,1.7777777777777781
4,simple,0.0,0.0,0.0
5,simple,0.0,0.0,0.0
6,simple,0.4444,1.3333333333333335,1.7777777777777781
7,simple,0.0,0.0,0.0
8,simple,0.0,0.0,0.0
9,simple,0.0,0.0,0.0
10,simple,1.7778,1.3333333333333335,3.111111111111111
11,simple,0.0,0.0,0.0
12,simple,1.7778,1.3333333333333335,3.111111111111111
13,simple,0.4444,1.3333333333333335,1.7777777777777781
14,simple,0.0,0.0,0.0
15,simple,0.0,0.0,0.0
16,simple,4.0,0.0,4.0
17,simple,0.0,0.0,0.0
18,simple,0.0,0.0,0.0
19,simple,0.4444,1.3333333333333335,1.7777777777777781
20,simple,0.0,0.0,0.0
21,simple,0.4444,1.3333333333333335,1.7777777777777781
22,simple,0.4444,1.3333333333333335,1.7777777777777781
23,simple,1.7778,1.3333333333333335,3.111111111111111
24,simple,1.7778,1.3333333333333335,3.111111111111111
25,simple,0.0,0.0,0.0
26,simple,0.0,0.0,0.0
27,simple,0.4444,1.3333333333333335,1.7777777777777781
28,simple,4.0,0.0,4.0
29,simple,0.4444,1.3333333333333335,1.7777777777777781
30,simple,0.0,0.0,0.0
31,simple,0.0,0.0,0.0
32,simple,0.0,0.0,0.0
33,simple,0.0,0.0,0.0
34,simple,0.0,0.0,0.0
35,simple,0.4444,1.3333333333333335,1.7777777777777781
36,simple,0.4444,1.3333333333333335,1.7777777777777781
37,simple,0.4444,1.3333333333333335,1.7777777777777781
38,simple,0.0,0.0,0.0
39,simple,4.0,0.0,4.0
40,simple,0.4444,1.3333333333333335,1.7777777777777781
41,simple,0.0,0.0,0.0
42,simple,0.0,0.0,0.0
43,simple,4.0,0.0,4.0
44,simple,1.7778,1.3333333333333335,3.111111111111111
45,simple,1.7778,1.3333333333333335,3.111111111111111
46,simple,0.0,0.0,0.0
47,simple,1.7778,1.3333333333333335,3.111111111111111
48,simple,1.7778,1.3333333333333335,3.111111111111111
49,simple,0.0,0.0,0.0
50,simple,0.4444,1.3333333333333335,1.7777777777777781
51,simple,0.0,0.0,0.0
52,simple,0.4444,1.3333333333333335,1.7777777777777781
