i,simple/bagged,bias,variance,gen_error
0,bagged,0.4444,1.3333333333333335,1.7777777777777781
1,bagged,0.0,0.0,0.0
2,bagged,0.0,0.0,0.0
3,bagged,0.4444,1.3333333333333335,1.7777777777777781
4,bagged,0.0,0.0,0.0
5,bagged,0.0,0.0,0.0
6,bagged,0.4444,1.3333333333333335,1.7777777777777781
7,bagged,0.0,0.0,0.0
8,bagged,0.0,0.0,0.0
9,bagged,0.0,0.0,0.0
10,bagged,1.7778,1.3333333333333335,3.111111111111111
11,bagged,0.0,0.0,0.0
12,bagged,1.7778,1.3333333333333335,3.111111111111111
13,bagged,0.4444,1.3333333333333335,1.7777777777777781
14,bagged,0.0,0.0,0.0
15,bagged,0.0,0.0,0.0
16,bagged,4.0,0.0,4.0
17,bagged,0.0,0.0,0.0
18,bagged,0.0,0.0,0.0
19,bagged,0.4444,1.3333333333333335,1.7777777777777781
20,bagged,0.0,0.0,0.0
21,bagged,0.4444,1.3333333333333335,1.7777777777777781
22,bagged,0.4444,1.3333333333333335,1.7777777777777781
23,bagged,1.7778,1.3333333333333335,3.111111111111111
24,bagged,1.7778,1.3333333333333335,3.111111111111111
25,bagged,0.0,0.0,0.0
26,bagged,0.0,0.0,0.0
27,bagged,0.4444,1.3333333333333335,1.7777777777777781
28,bagged,4.0,0.0,4.0
29,bagged,0.4444,1.3333333333333335,1.7777777777777781
30,bagged,0.0,0.0,0.0
31,bagged,0.0,0.0,0.0
32,bagged,0.0,0.0,0.0
33,bagged,0.0,0.0,0.0
34,bagged,0.0,0.0,0.0
35,bagged,0.4444,1.3333333333333335,1.7777777777777781
36,bagged,0.4444,1.3333333333333335,1.7777777777777781
37,bagged,0.4444,1.3333333333333335,1.7777777777777781
38,bagged,0.0,0.0,0.0
39,bagged,4.0,0.0,4.0
40,bagged,0.4444,1.3333333333333335,1.7777777777777781
41,bagged,0.0,0.0,0.0
42,bagged,0.0,0.0,0.0
43,bagged,4.0,0.0,4.0
44,bagged,1.7778,1.3333333333333335,3.111111111111111
45,bagged,1.7778,1.3333333333333335,3.111111111111111
46,bagged,0.0,0.0,0.0
47,bagged,1.7778,1.3333333333333335,3.111111111111111
48,bagged,1.7778,1.3333333333333335,3.111111111111111
49,bagged,0.0,0.0,0.0
50,bagged,0.4444,1.3333333333333335,1.7777777777777781
51,bagged,0.0,0.0,0.0
52,bagged,0.4444,1.3333333333333335,1.7777777777777781
53,bagged,0.4444,1.3333333333333335,1.7777777777777781
54,bagged,0.0,0.0,0.0
55,bagged,0.4444,1.3333333333333335,1.7777777777777781
56,bagged,4.0,0.0,4.0
57,bagged,0.4444,1.3333333333333335,1.7777777777777781
58,bagged,0.4444,1.3333333333333335,1.7777777777777781
59,bagged,0.0,0.0,0.0
60,bagged,0.0,0.0,0.0
61,bagged,0.4444,1.3333333333333335,1.7777777777777781
62,bagged,0.4444,1.3333333333333335,1.7777777777777781
63,bagged,0.4444,1.3333333333333335,1.7777777777777781
64,bagged,0.4444,1.3333333333333335,1.7777777777777781
65,bagged,0.4444,1.3333333333333335,1.7777777777777781
66,bagged,0.4444,1.3333333333333335,1.7777777777777781
67,bagged,0.0,0.0,0.0
68,bagged,0.0,0.0,0.0
69,bagged,0.0,0.0,0.0
70,bagged,0.0,0.0,0.0
71,bagged,1.7778,1.3333333333333335,3.111111111111111
72,bagged,0.0,0.0,0.0
73,bagged,1.7778,1.3333333333333335,3.111111111111111
74,bagged,1.7778,1.3333333333333335,3.111111111111111
75,bagged,0.0,0.0,0.0
76,bagged,0.4444,1.3333333333333335,1.7777777777777781
77,bagged,0.4444,1.3333333333333335,1.7777777777777781
78,bagged,0.4444,1.3333333333333335,1.7777777777777781
79,bagged,1.7778,1.3333333333333335,3.111111111111111
80,bagged,0.0,0.0,0.0
81,bagged,0.0,0.0,0.0
82,bagged,0.4444,1.3333333333333335,1.7777777777777781
83,bagged,0.0,0.0,0.0
84,bagged,0.0,0.0,0.0
85,bagged,0.4444,1.3333333333333335,1.7777777777777781
86,bagged,0.4444,1.3333333333333335,1.7777777777777781
87,bagged,0.4444,1.3333333333333335,1.7777777777777781
88,bagged,0.4444,1.3333333333333335,1.7777777777777781
89,bagged,0.4444,1.3333333333333335,1.7777777777777781
90,bagged,0.4444,1.3333333333333335,1.7777777777777781
91,bagged,4.0,0.0,4.0
92,bagged,0.0,0.0,0.0
93,bagged,1.7778,1.3333333333333335,3.111111111111111
94,bagged,0.0,0.0,0.0
95,bagged,1.7778,1.3333333333333335,3.111111111111111
96,bagged,0.0,0.0,0.0
97,bagged,0.4444,1.3333333333333335,1.7777777777777781
98,bagged,0.0,0.0,0.0
99,bagged,0.0,0.0,0.0
100,bagged,0.0,0.0,0.0
101,bagged,0.0,0.0,0.0
102,bagged,0.4444,1.3333333333333335,1.7777777777777781
103,bagged,0.0,0.0,0.0
104,bagged,0.0,0.0,0.0
105,bagged,4.0,0.0,4.0
106,bagged,0.4444,1.3333333333333335,1.7777777777777781
107,bagged,0.4444,1.3333333333333335,1.7777777777777781
108,bagged,0.0,0.0,0.0
109,bagged,0.0,0.0,0.0
110,bagged,0.0,0.0,0.0
111,bagged,0.4444,1.3333333333333335,1.7777777777777781
112,bagged,0.0,0.0,0.0
113,bagged,0.0,0.0,0.0
114,bagged,4.0,0.0,4.0
115,bagged,0.4444,1.3333333333333335,1.7777777777777781
116,bagged,0.0,0.0,0.0
117,bagged,0.0,0.0,0.0
118,bagged,0.0,0.0,0.0
119,bagged,1.7778,1.3333333333333335,3.111111111111111
120,bagged,0.0,0.0,0.0
121,bagged,0.4444,1.3333333333333335,1.7777777777777781
122,bagged,0.0,0.0,0.0
123,bagged,0.0,0.0,0.0
124,bagged,0.4444,1.3333333333333335,1.7777777777777781
125,bagged,0.0,0.0,0.0
126,bagged,0.4444,1.3333333333333335,1.7777777777777781
127,bagged,0.0,0.0,0.0
128,bagged,0.4444,1.3333333333333335,1.7777777777777781
129,bagged,1.7778,1.3333333333333335,3.111111111111111
130,bagged,0.0,0.0,0.0
131,bagged,0.4444,1.3333333333333335,1.7777777777777781
132,bagged,1.7778,1.3333333333333335,3.111111111111111
133,bagged,4.0,0.0,4.0
134,bagged,0.4444,1.3333333333333335,1.7777777777777781
135,bagged,0.0,0.0,0.0
136,bagged,0.4444,1.3333333333333335,1.7777777777777781
137,bagged,0.0,0.0,0.0
138,bagged,1.7778,1.3333333333333335,3.111111111111111
139,bagged,0.0,0.0,0.0
140,bagged,0.4444,1.3333333333333335,1.7777777777777781
141,bagged,0.4444,1.3333333333333335,1.7777777777777781
142,bagged,0.0,0.0,0.0
143,bagged,0.0,0.0,0.0
144,bagged,0.0,0.0,0.0
145,bagged,0.4444,1.3333333333333335,1.7777777777777781
146,bagged,1.7778,1.3333333333333335,3.111111111111111
147,bagged,0.0,0.0,0.0
148,bagged,0.4444,1.3333333333333335,1.7777777777777781
149,bagged,1.7778,1.3333333333333335,3.111111111111111
150,bagged,0.4444,1.3333333333333335,1.7777777777777781
151,bagged,0.0,0.0,0.0
152,bagged,4.0,0.0,4.0
153,bagged,0.4444,1.3333333333333335,1.7777777777777781
154,bagged,0.4444,1.3333333333333335,1.7777777777777781
155,bagged,0.0,0.0,0.0
156,bagged,0.4444,1.3333333333333335,1.7777777777777781
157,bagged,0.4444,1.3333333333333335,1.7777777777777781
158,bagged,0.0,0.0,0.0
159,bagged,0.4444,1.3333333333333335,1.7777777777777781
160,bagged,0.4444,1.3333333333333335,1.7777777777777781
161,bagged,0.0,0.0,0.0
162,bagged,0.0,0.0,0.0
163,bagged,0.4444,1.3333333333333335,1.7777777777777781
164,bagged,1.7778,1.3333333333333335,3.111111111111111
165,bagged,1.7778,1.3333333333333335,3.111111111111111
166,bagged,0.4444,1.3333333333333335,1.7777777777777781
167,bagged,0.0,0.0,0.0
168,bagged,0.0,0.0,0.0
169,bagged,0.0,0.0,0.0
170,bagged,0.4444,1.3333333333333335,1.7777777777777781
171,bagged,0.0,0.0,0.0
172,bagged,0.4444,1.3333333333333335,1.7777777777777781
173,bagged,0.0,0.0,0.0
174,bagged,4.0,0.0,4.0
175,bagged,0.0,0.0,0.0
176,bagged,4.0,0.0,4.0
177,bagged,0.4444,1.3333333333333335,1.7777777777777781
178,bagged,0.0,0.0,0.0
179,bagged,0.0,0.0,0.0
180,bagged,0.0,0.0,0.0
181,bagged,1.7778,1.3333333333333335,3.111111111111111
182,bagged,4.0,0.0,4.0
183,bagged,0.0,0.0,0.0
184,bagged,0.0,0.0,0.0
185,bagged,1.7778,1.3333333333333335,3.111111111111111
186,bagged,0.4444,1.3333333333333335,1.7777777777777781
187,bagged,0.0,0.0,0.0
188,bagged,0.0,0.0,0.0
189,bagged,0.0,0.0,0.0
190,bagged,0.0,0.0,0.0
191,bagged,0.0,0.0,0.0
192,bagged,0.0,0.0,0.0
193,bagged,0.0,0.0,0.0
194,bagged,0.0,0.0,0.0
195,bagged,0.4444,1.3333333333333335,1.7777777777777781
196,bagged,1.7778,1.3333333333333335,3.111111111111111
197,bagged,0.4444,1.3333333333333335,1.7777777777777781
198,bagged,0.0,0.0,0.0
199,bagged,1.7778,1.3333333333333335,3.111111111111111
200,bagged,0.0,0.0,0.0
201,bagged,0.4444,1.3333333333333335,1.7777777777777781
202,bagged,0.4444,1.3333333333333335,1.7777777777777781
203,bagged,0.4444,1.3333333333333335,1.7777777777777781
204,bagged,0.0,0.0,0.0
205,bagged,0.4444,1.3333333333333335,1.7777777777777781
206,bagged,0.0,0.0,0.0
207,bagged,0.0,0.0,0.0
208,bagged,4.0,0.0,4.0
209,bagged,0.0,0.0,0.0
210,bagged,0.0,0.0,0.0
211,bagged,0.4444,1.3333333333333335,1.7777777777777781
212,bagged,1.7778,1.3333333333333335,3.111111111111111
213,bagged,0.0,0.0,0.0
214,bagged,0.0,0.0,0.0
215,bagged,0.4444,1.3333333333333335,1.7777777777777781
216,bagged,4.0,0.0,4.0
217,bagged,0.4444,1.3333333333333335,1.7777777777777781
218,bagged,0.0,0.0,0.0
219,bagged,0.0,0.0,0.0
220,bagged,0.0,0.0,0.0
221,bagged,0.0,0.0,0.0
222,bagged,0.0,0.0,0.0
223,bagged,0.4444,1.3333333333333335,1.7777777777777781
224,bagged,0.4444,1.3333333333333335,1.7777777777777781
225,bagged,0.0,0.0,0.0
226,bagged,0.0,0.0,0.0
227,bagged,0.4444,1.3333333333333335,1.7777777777777781
228,bagged,0.0,0.0,0.0
229,bagged,0.0,0.0,0.0
230,bagged,0.0,0.0,0.0
231,bagged,0.0,0.0,0.0
232,bagged,0.4444,1.3333333333333335,1.7777777777777781
233,bagged,1.7778,1.3333333333333335,3.111111111111111
234,bagged,1.7778,1.3333333333333335,3.111111111111111
235,bagged,0.4444,1.3333333333333335,1.7777777777777781
236,bagged,0.0,0.0,0.0
237,bagged,0.4444,1.3333333333333335,1.7777777777777781
238,bagged,0.0,0.0,0.0
239,bagged,0.0,0.0,0.0
240,bagged,0.4444,1.3333333333333335,1.7777777777777781
241,bagged,0.4444,1.3333333333333335,1.7777777777777781
242,bagged,0.4444,1.3333333333333335,1.7777777777777781
243,bagged,1.7778,1.3333333333333335,3.111111111111111
244,bagged,0.4444,1.3333333333333335,1.7777777777777781
245,bagged,1.7778,1.3333333333333335,3.111111111111111
246,bagged,0.0,0.0,0.0
247,bagged,0.4444,1.3333333333333335,1.7777777777777781
248,bagged,0.4444,1.3333333333333335,1.7777777777777781
249,bagged,0.4444,1.3333333333333335,1.7777777777777781
250,bagged,1.7778,1.3333333333333335,3.111111111111111
251,bagged,0.0,0.0,0.0
252,bagged,0.0,0.0,0.0
253,bagged,0.0,0.0,0.0
