,acc
0,0.75936
1,0.75936
2,0.75936
3,0.75936
4,0.75936
5,0.75936
6,0.75936
7,0.75936
8,0.8136
9,0.81104
10,0.83128
11,0.83116
12,0.822
13,0.82348
14,0.82832
15,0.81236
16,0.82596
17,0.83352
18,0.8222
19,0.82624
20,0.82696
21,0.8324
22,0.82516
23,0.82792
24,0.83252
25,0.83084
26,0.81736
27,0.81236
28,0.82096
29,0.79932
30,0.8066
31,0.81104
32,0.82356
33,0.80712
34,0.8172
35,0.82436
36,0.82752
37,0.8246
38,0.82172
39,0.82396
40,0.82836
41,0.8232
42,0.82916
43,0.82908
44,0.82084
45,0.82568
46,0.82116
47,0.80456
48,0.81116
49,0.81404
50,0.82008
51,0.81588
52,0.81296
53,0.81088
54,0.82176
55,0.81636
56,0.8128
57,0.79272
58,0.78832
59,0.80488
60,0.81688
61,0.81184
62,0.809
63,0.81052
64,0.8102
65,0.77328
66,0.80152
67,0.79656
68,0.77828
69,0.78732
70,0.71556
71,0.71888
72,0.75648
73,0.73848
74,0.74364
75,0.7536
76,0.77096
77,0.79828
78,0.80288
79,0.8036
80,0.80864
81,0.80484
82,0.80764
83,0.80564
84,0.81064
85,0.79764
86,0.79824
87,0.79824
88,0.80268
89,0.80348
90,0.79212
91,0.79156
92,0.79832
93,0.76608
94,0.74416
95,0.77392
96,0.7822
97,0.77848
98,0.76924
99,0.79236
100,0.801
101,0.80104
102,0.79508
103,0.79472
104,0.79564
105,0.7964
106,0.79776
107,0.79808
108,0.7676
109,0.77284
110,0.78304
111,0.78248
112,0.78968
113,0.77264
114,0.76908
115,0.77336
116,0.76716
117,0.76724
118,0.77772
119,0.7776
120,0.7784
121,0.8026
122,0.80404
123,0.80628
124,0.80828
125,0.78888
126,0.78888
127,0.78888
128,0.78888
129,0.78888
130,0.78888
131,0.78888
132,0.78888
133,0.78892
134,0.78892
135,0.78892
136,0.78892
137,0.78892
138,0.78892
139,0.78892
140,0.78892
141,0.78892
142,0.78892
143,0.78892
144,0.78892
145,0.78892
146,0.78892
147,0.78892
148,0.78892
149,0.78892
150,0.78892
151,0.78892
152,0.78892
153,0.78892
154,0.78892
155,0.78892
156,0.78892
157,0.78892
158,0.78892
159,0.78892
160,0.78892
161,0.78892
162,0.78892
163,0.78892
164,0.78892
165,0.78892
166,0.78892
167,0.78892
168,0.78892
169,0.78892
170,0.78892
171,0.78892
172,0.78892
173,0.78892
174,0.78892
175,0.78892
176,0.78892
177,0.78892
178,0.78892
179,0.78892
180,0.78892
181,0.78892
182,0.78892
183,0.78892
184,0.78892
185,0.78892
186,0.78892
187,0.78892
188,0.78892
189,0.78892
190,0.78892
191,0.78892
192,0.78892
193,0.78892
194,0.78892
195,0.78892
196,0.78892
197,0.78892
198,0.78892
199,0.78892
200,0.78892
201,0.78892
202,0.78892
203,0.78892
204,0.78892
205,0.78892
206,0.78892
207,0.78892
208,0.78892
209,0.78892
210,0.78892
211,0.78892
212,0.78892
213,0.78892
214,0.78892
215,0.78892
216,0.78892
217,0.78892
218,0.78892
219,0.78892
220,0.78892
221,0.78892
222,0.78892
223,0.78892
224,0.78892
225,0.78892
226,0.78892
227,0.78892
228,0.78892
229,0.78892
230,0.78892
231,0.78892
232,0.78892
233,0.78892
234,0.78892
235,0.78892
236,0.78892
237,0.78892
238,0.78892
239,0.78892
240,0.78892
241,0.78892
242,0.78892
243,0.78892
244,0.78892
245,0.78892
246,0.78892
247,0.78892
248,0.78892
249,0.78892
250,0.78892
251,0.78892
252,0.78892
253,0.78892
254,0.78892
255,0.78892
256,0.78892
257,0.78892
258,0.78892
259,0.78892
260,0.78892
261,0.78892
262,0.78892
263,0.78892
264,0.78892
265,0.78892
266,0.78892
267,0.78892
268,0.78892
269,0.78892
270,0.78892
271,0.78892
272,0.78892
273,0.78892
274,0.78892
275,0.78892
276,0.78892
277,0.78892
278,0.78892
279,0.78892
280,0.78892
281,0.78892
282,0.78892
283,0.78892
284,0.78892
285,0.78892
286,0.78892
287,0.78892
288,0.78892
289,0.78892
290,0.78892
291,0.78892
292,0.78892
293,0.78892
294,0.78892
295,0.78892
296,0.78892
297,0.78892
298,0.78892
299,0.78892
300,0.78892
301,0.78892
302,0.78892
303,0.78892
304,0.78892
305,0.78892
306,0.78892
307,0.78892
308,0.78892
309,0.78892
310,0.78892
311,0.78892
312,0.78892
313,0.78892
314,0.78892
315,0.78892
316,0.78892
317,0.78892
318,0.78892
319,0.78892
320,0.78892
321,0.78892
322,0.78892
323,0.78892
324,0.78892
325,0.78892
326,0.78892
327,0.78892
328,0.78892
329,0.78892
330,0.78892
331,0.78892
332,0.78892
333,0.78892
334,0.78892
335,0.78892
336,0.78892
337,0.78892
338,0.78892
339,0.78892
340,0.78892
341,0.78892
342,0.78892
343,0.78892
344,0.78892
345,0.78892
346,0.78892
347,0.78892
348,0.78892
349,0.78892
350,0.78892
351,0.78892
352,0.78892
353,0.78892
354,0.78892
355,0.78892
356,0.78892
357,0.78892
358,0.78892
359,0.78892
360,0.78892
361,0.78892
362,0.78892
363,0.78892
364,0.78892
365,0.78892
366,0.78892
367,0.78892
368,0.78892
369,0.78892
370,0.78892
371,0.78892
372,0.78892
373,0.78892
374,0.78892
375,0.78892
376,0.78892
377,0.78892
378,0.78892
379,0.78892
380,0.78892
381,0.78892
382,0.78892
383,0.78892
384,0.78892
385,0.78892
386,0.78892
387,0.78892
388,0.78892
389,0.78892
390,0.78892
391,0.78892
392,0.78892
393,0.78892
394,0.78892
395,0.78892
396,0.78892
397,0.78892
398,0.78892
399,0.78892
400,0.78892
401,0.78892
402,0.78892
403,0.78892
404,0.78892
405,0.78892
406,0.78892
407,0.78892
408,0.78892
409,0.78892
410,0.78892
411,0.78892
412,0.78892
413,0.78892
414,0.78892
415,0.78892
416,0.78892
417,0.78892
418,0.78892
419,0.78892
420,0.78892
421,0.78892
422,0.78892
423,0.78892
424,0.78892
425,0.78892
426,0.78892
427,0.78892
428,0.78892
429,0.78892
430,0.78892
431,0.78892
432,0.78892
433,0.78892
434,0.78892
435,0.78892
436,0.78892
437,0.78892
438,0.78892
439,0.78892
440,0.78892
441,0.78892
442,0.78892
443,0.78892
444,0.78892
445,0.78892
446,0.78892
447,0.78892
448,0.78892
449,0.78892
450,0.78892
451,0.78892
452,0.78892
453,0.78892
454,0.78892
455,0.78892
456,0.78892
457,0.78892
458,0.78892
459,0.78892
460,0.78892
461,0.78892
462,0.78892
463,0.78892
464,0.78892
465,0.78892
466,0.78892
467,0.78892
468,0.78892
469,0.78892
470,0.78892
471,0.78892
472,0.78892
473,0.78892
474,0.78892
475,0.78892
476,0.78892
477,0.78892
478,0.78892
479,0.78892
480,0.78892
481,0.78892
482,0.78892
483,0.78892
484,0.78892
485,0.78892
486,0.78892
487,0.78892
488,0.78892
489,0.78892
490,0.78892
491,0.78892
492,0.78892
493,0.78892
494,0.78892
495,0.78892
496,0.78892
497,0.78892
498,0.78892
499,0.78892
