,acc
0,0.84004
1,0.84404
2,0.8488
3,0.8472
4,0.85292
5,0.8534
6,0.85136
7,0.85192
8,0.85512
9,0.85388
10,0.8548
11,0.8562
12,0.85532
13,0.85332
14,0.85668
15,0.856
16,0.85932
17,0.85756
18,0.85948
19,0.8606
20,0.85968
21,0.8588
22,0.86148
23,0.8612
24,0.86152
25,0.8618
26,0.86228
27,0.8596
28,0.8628
29,0.86056
30,0.864
31,0.86244
32,0.8622
33,0.8634
34,0.86064
35,0.86468
36,0.86104
37,0.86452
38,0.86248
39,0.8646
40,0.86564
41,0.86416
42,0.86008
43,0.86396
44,0.86568
45,0.86428
46,0.86708
47,0.86444
48,0.86944
49,0.868
50,0.86536
51,0.86684
52,0.86812
53,0.86776
54,0.86604
55,0.86892
56,0.87072
57,0.86876
58,0.8652
59,0.86964
60,0.86656
61,0.8692
62,0.86848
63,0.87004
64,0.86948
65,0.86928
66,0.87224
67,0.86892
68,0.86812
69,0.86864
70,0.87304
71,0.87392
72,0.86592
73,0.87048
74,0.8748
75,0.87096
76,0.87384
77,0.8714
78,0.87372
79,0.87424
80,0.87364
81,0.87376
82,0.87168
83,0.87428
84,0.8738
85,0.87452
86,0.87676
87,0.87432
88,0.87388
89,0.875
90,0.87032
91,0.87084
92,0.8722
93,0.87392
94,0.87556
95,0.8754
96,0.87324
97,0.875
98,0.86792
99,0.87652
100,0.87524
101,0.87796
102,0.87356
103,0.87756
104,0.87488
105,0.877
106,0.88016
107,0.8776
108,0.8766
109,0.87692
110,0.87784
111,0.878
112,0.87912
113,0.87576
114,0.87996
115,0.87672
116,0.8752
117,0.88128
118,0.87884
119,0.88112
120,0.87796
121,0.8782
122,0.88024
123,0.88024
124,0.87868
125,0.8792
126,0.88228
127,0.8814
128,0.878
129,0.88004
130,0.88124
131,0.87836
132,0.88076
133,0.87972
134,0.88144
135,0.88164
136,0.88316
137,0.87836
138,0.88072
139,0.8768
140,0.88488
141,0.8842
142,0.88404
143,0.8798
144,0.88284
145,0.88212
146,0.8774
147,0.8826
148,0.88216
149,0.88288
150,0.88408
151,0.88176
152,0.88624
153,0.88116
154,0.88464
155,0.88328
156,0.88116
157,0.88556
158,0.88492
159,0.88564
160,0.88228
161,0.88324
162,0.88308
163,0.88428
164,0.88468
165,0.87688
166,0.88408
167,0.88004
168,0.88528
169,0.8752
170,0.88172
171,0.88208
172,0.88412
173,0.88708
174,0.8856
175,0.88724
176,0.88608
177,0.88792
178,0.88404
179,0.88376
180,0.88748
181,0.88848
182,0.88684
183,0.88524
184,0.88324
185,0.88168
186,0.88624
187,0.88488
188,0.88812
189,0.89008
190,0.88336
191,0.8868
192,0.888
193,0.8878
194,0.88536
195,0.88912
196,0.88584
197,0.89084
198,0.88492
199,0.88404
200,0.88356
201,0.8824
202,0.88608
203,0.89092
204,0.88996
205,0.8892
206,0.88788
207,0.88984
208,0.89144
209,0.88788
210,0.8876
211,0.89056
212,0.89088
213,0.8848
214,0.88984
215,0.88844
216,0.89052
217,0.8866
218,0.88312
219,0.8898
220,0.8854
221,0.88824
222,0.88624
223,0.89168
224,0.8902
225,0.89184
226,0.89108
227,0.8906
228,0.88672
229,0.88612
230,0.88984
231,0.88796
232,0.88832
233,0.89332
234,0.8924
235,0.88944
236,0.89032
237,0.89324
238,0.8934
239,0.88936
240,0.8942
241,0.8894
242,0.89024
243,0.89164
244,0.89076
245,0.8918
246,0.89204
247,0.89132
248,0.89216
249,0.89352
250,0.89376
251,0.89416
252,0.89356
253,0.89044
254,0.89324
255,0.88964
256,0.8932
257,0.8936
258,0.892
259,0.8894
260,0.89264
261,0.89192
262,0.89236
263,0.89024
264,0.88808
265,0.89688
266,0.89344
267,0.89052
268,0.89004
269,0.89328
270,0.89536
271,0.89028
272,0.89188
273,0.89476
274,0.89368
275,0.89252
276,0.89372
277,0.891
278,0.88348
279,0.89132
280,0.89288
281,0.8894
282,0.89416
283,0.89624
284,0.89556
285,0.8958
286,0.88676
287,0.89296
288,0.89256
289,0.89512
290,0.88864
291,0.88984
292,0.8954
293,0.89372
294,0.89104
295,0.8932
296,0.89268
297,0.89396
298,0.89088
299,0.89504
300,0.89508
301,0.89616
302,0.89884
303,0.89012
304,0.89372
305,0.89252
306,0.89444
307,0.89096
308,0.89228
309,0.89764
310,0.89524
311,0.89344
312,0.89552
313,0.89504
314,0.896
315,0.89268
316,0.89704
317,0.89708
318,0.89472
319,0.89512
320,0.89404
321,0.89672
322,0.8952
323,0.89676
324,0.8996
325,0.89492
326,0.8958
327,0.89692
328,0.89752
329,0.8958
330,0.89536
331,0.8966
332,0.89632
333,0.89312
334,0.89648
335,0.89724
336,0.89712
337,0.89628
338,0.89748
339,0.89872
340,0.89532
341,0.89852
342,0.89656
343,0.89616
344,0.8966
345,0.89692
346,0.89868
347,0.89704
348,0.89188
349,0.89624
350,0.89544
351,0.897
352,0.89816
353,0.89836
354,0.89864
355,0.89112
356,0.89648
357,0.89552
358,0.89676
359,0.89944
360,0.89804
361,0.89952
362,0.89756
363,0.9004
364,0.8994
365,0.89836
366,0.89936
367,0.8944
368,0.89672
369,0.89852
370,0.8906
371,0.89596
372,0.89588
373,0.90224
374,0.89824
375,0.8974
376,0.89952
377,0.89752
378,0.89916
379,0.9012
380,0.89892
381,0.89352
382,0.89436
383,0.89668
384,0.89892
385,0.89724
386,0.90072
387,0.89888
388,0.89756
389,0.89664
390,0.89628
391,0.89872
392,0.89544
393,0.9
394,0.89772
395,0.89576
396,0.89592
397,0.89776
398,0.89528
399,0.89916
400,0.89548
401,0.90056
402,0.897
403,0.8946
404,0.9
405,0.9016
406,0.89808
407,0.89464
408,0.89916
409,0.89976
410,0.90016
411,0.89952
412,0.8954
413,0.89932
414,0.89864
415,0.89568
416,0.8964
417,0.89896
418,0.89992
419,0.89704
420,0.89912
421,0.89176
422,0.90008
423,0.89984
424,0.90048
425,0.8974
426,0.89908
427,0.898
428,0.89908
429,0.9024
430,0.90176
431,0.90008
432,0.901
433,0.90236
434,0.90132
435,0.90032
436,0.90152
437,0.90156
438,0.90256
439,0.90244
440,0.89692
441,0.89992
442,0.89816
443,0.89576
444,0.89536
445,0.90184
446,0.90048
447,0.902
448,0.89912
449,0.9024
450,0.9006
451,0.89816
452,0.8996
453,0.901
454,0.89984
455,0.89636
